season,first_conductor,orch,first_location,first_venue,event_name,first_date,num_perfs,first_soloist,id
1927,"Mengelberg, Willem",NYP,"Pittsburgh, PA",SYR,T,1927-11-11,1,"Amans, John 5",197
1963,"Bernstein, Leonard 2",NYP,"Manhattan, NY",PH,Y,1964-02-08,1,"Copland, Aaron 6",198
1927,"Mengelberg, Willem",NYP,"Pittsburgh, PA",SYR,T,1927-11-12,1,None,199
1926,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1926-12-23,2,"Schmitz, E. Robert",200
1926,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1926-12-26,1,"Zimbalist, Efrem",201
1926,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1926-12-30,2,"Cortot, Alfred",202
1979,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,F,1980-05-14,2,"Shade, Ellen 5",203
1973,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,SUB,1974-04-04,3,"Menuhin, Yehudi",204
1979,"Leinsdorf, Erich",NYP,"Manhattan, NY",AFH,F,1980-05-16,2,"Ax, Emanuel 3",205
1973,"Ceccato, Aldo",NYP,"Manhattan, NY",AFH,SUB,1974-04-11,4,"Roseman, Ronald 4",206
1897,"Seidl, Anton",NYP,"Manhattan, NY",CH,SUB,1897-12-10,2,"Pugno, Raoul",207
1979,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,F,1980-05-22,1,"Istomin, Eugene",208
1973,"Klee, Bernhard",NYP,"Manhattan, NY",AFH,SUB,1974-04-18,4,None,209
1971,None,PRE,"Manhattan, NY",PH,PRE,1972-04-10,4,"Watts, Andre (André)",210
1946,"Mitropoulos, Dimitri",NYP,"Milwaukee, WI",AUD,T,1947-05-03,1,None,211
1875,"Matzka, George",NYP,"Manhattan, NY",AOM,SUB,1876-03-18,1,"White, Joseph",212
1899,"Paur, Emil",NYP,"Manhattan, NY",CH,SUB,1900-01-05,2,"Jackson, Leonora",213
1944,"Ormandy, Eugene",NYP,"Manhattan, NY",CH,B,1945-06-03,1,"Serkin, Rudolf",214
1979,"Eschenbach, Christoph",NYP,"Manhattan, NY",AFH,F,1980-05-23,1,"Eschenbach, Christoph",215
1973,"Boulez, Pierre",NYP,"Manhattan, NY",AFH,SUB,1974-04-25,2,"Fischer-Dieskau, Dietrich",216
1970,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,R,1971-06-02,3,"Randall, Tony 2",217
1946,"Mitropoulos, Dimitri",NYP,"Chicago, IL",ORC,T,1947-05-04,1,None,218
1899,"Paur, Emil",NYP,"Manhattan, NY",CH,SUB,1900-01-26,2,"Schumann-Heink, Ernestine 2",219
1944,"Ormandy, Eugene",NYP,"Manhattan, NY",CH,B,1945-06-10,1,No Soloist,220
1979,"Tennstedt, Klaus",NYP,"Manhattan, NY",AFH,F,1980-05-27,1,"Frager, Malcolm",221
1973,"Boulez, Pierre",NYP,"Manhattan, NY",AFH,SUB,1974-04-26,2,"Chapo, Eliot",222
1970,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,R,1971-06-04,1,"Dichter, Misha",223
1944,"Szell, George",NYP,"Manhattan, NY",CH,B,1945-06-17,1,"Schnabel, Artur",225
1981,"Mehta, Zubin",NYP,"Manhattan, NY",AFH,Y,1982-01-09,2,None,226
1979,"Tennstedt, Klaus",NYP,"Manhattan, NY",AFH,F,1980-05-29,2,"Kaplan, Mark",227
1987,"Mehta, Zubin",NYP,"Moscow, USSR",TCH,T,1988-06-04,1,None,228
1970,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,R,1971-06-08,1,"Niska, Maralin 2",229
1962,"Bernstein, Leonard",NYP,"Manhattan, NY",PH,SUB,1962-10-04,4,None,230
1946,"Mitropoulos, Dimitri",NYP,"Charleston, WV",MUN,T,1947-05-07,1,None,231
1944,"Rodzinski, Artur",NYP,"Manhattan, NY",CH,SUB,1944-11-26,1,"Piatigorsky, Gregor 3",232
1944,"Szell, George",NYP,"Manhattan, NY",CH,B,1945-06-24,1,None,233
1970,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,R,1971-06-09,1,"Niska, Maralin 2",234
1962,"Bernstein, Leonard",NYP,"Manhattan, NY",PH,SUB,1962-10-11,4,None,235
1955,"Mitropoulos, Dimitri",NYP,"Manhattan, NY",JUL,Y,1956-04-25,1,None,236
1946,"Mitropoulos, Dimitri",NYP,"Akron, OH",ARM,T,1947-05-09,1,None,237
1874,"Bergmann, Carl",NYP,"Manhattan, NY",AOM,SUB,1874-11-14,1,"Donadio, Bianca 3",238
1922,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,PCS,1923-02-21,1,None,239
1944,"Rodzinski, Artur",NYP,"Manhattan, NY",CH,SUB,1944-11-30,3,"Brownlee, John 2",240
1970,"Kostelanetz, Andre",NYP,"Manhattan, NY",PH,R,1971-06-10,3,"Brooks, Patricia",241
1962,"Bernstein, Leonard",NYP,"Manhattan, NY",PH,SUB,1962-10-18,2,"Montealegre, Felicia 7",242
1955,"Pelletier, Wilfrid",NYP,"Manhattan, NY",CH,Y,1956-04-28,1,"Han, Tong Il 2",243
1946,"Mitropoulos, Dimitri",NYP,"Buffalo, NY",KLE,T,1947-05-10,1,None,244
1922,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1923-02-22,1,"Rubinstein, Erna",245
1962,"Bernstein, Leonard 4",NYP,"Manhattan, NY",PH,SUB,1962-10-20,2,"Montealegre, Felicia 7",246
1946,"Mitropoulos, Dimitri",NYP,"Pittsburgh, PA",SYR,T,1947-05-11,1,None,247
1922,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1923-02-23,1,None,248
1962,"Bernstein, Leonard",NYP,"Manhattan, NY",PH,SUB,1962-10-25,4,"Istomin, Eugene 6",249
1922,"Mengelberg, Willem",NYP,"Manhattan, NY",CH,SUB,1923-02-25,1,"Rubinstein, Erna",250
1913,"Stransky, Josef",NYP,"Manhattan, NY",CH,SUB,1913-12-07,1,"Nielsen, Alice",251
1893,"Seidl, Anton",NYP,"Manhattan, NY",CH,SUB,1894-02-09,2,"Plancon [Plançon], Pol (Paul-Henri)",252
